"Paper","CC_MIN","CC_MAX","CC_MEAN","SA_MIN","SA_MAX","SA_MEAN","CBH_MIN","CBH_MAX","CBH_MEAN","BA_MIN","BA_MAX","BA_MEAN","ELEV_MIN","ELEV_MAX","ELEV_MEAN","SLOPE_MIN","SLOPE_MAX","SLOPE_MEAN"
"Clough","48","82",NA,NA,NA,NA,NA,NA,NA,"28","57",NA,"1524","2012",NA,"5","55",NA
"Erickson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1550","1920",NA,"2.5","58",NA
"Finn","72.05","94.35",85,"59.75","189.95",124.83,"20.100000000000001","28",24.05,"5.3","10.1",7.71,NA,NA,NA,"23.1","60.6",41.88
"Fischer","61.9","74.900000000000006",68.4,NA,NA,NA,"5.9","10.3",8.1,NA,NA,NA,NA,NA,NA,"13.3","28.5",20.9
"Graham et al.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","10000",NA,NA,NA,NA
"Hall","67.5","96.5",87,NA,NA,NA,"10","31",22,"43","119",90,NA,NA,NA,"11","80",42
"Hayward and Escano","65","90",NA,NA,NA,NA,NA,NA,NA,"29.3","53.8",NA,NA,NA,NA,NA,NA,NA
"Hennesy","49.13","77.510000000000005",63.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.25","49.51",28.88
"Joy","91.17","96.83",94,"159.93","174.07",167,NA,NA,NA,"17","39",30.2,NA,NA,NA,"6","15",9
"Keane",NA,NA,70,NA,NA,NA,NA,NA,NA,"29.3","53.8",40.6,NA,NA,NA,"16.46","21.24",18.85
"Marvel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1928","3204",NA,"0","65",NA
"McGrath et al.","14.3","89.1",NA,"60","286",NA,NA,NA,NA,"11.2","67.2",NA,"728","2131",NA,"2","75",NA
"Moore and Henny","79.3","96.9",88.1,NA,NA,NA,NA,NA,NA,"34.57","69.13",51.85,NA,NA,NA,"3.4","24.6",14
"Patla","28.05","95.05",76.16,"62","280",131,"11.5","17.899999999999999",14.7,"17.8","39.200000000000003",28.5,NA,NA,NA,"3.31","40.380000000000003",21.05
"Reynolds et al.","10","95",59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","75",9.4
"Siders and Kennedy","59","72.5",66.3,NA,NA,NA,NA,NA,NA,"31","40",37,NA,NA,NA,NA,NA,NA
"Spencer","45","84",61,NA,NA,NA,NA,NA,NA,"14","60",40,NA,NA,NA,"2","35",11.2
"Squires and Ruggiero","38","90",66.7,NA,NA,NA,NA,NA,NA,"18","92",50.8,"2390","2731",2561,"1","34",11
"Zarnetske et al.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1828","3048",NA,NA,NA,NA
